timestamp,service_name,request_count,error_rate,latency_ms,status_200,status_500,status_503
2024-05-22T02:00:00Z,postgres-primary,520,0.006,28,517,2,1
2024-05-22T02:05:00Z,postgres-primary,515,0.006,27,512,2,1
2024-05-22T02:10:00Z,postgres-primary,522,0.007,29,518,3,1
2024-05-22T02:15:00Z,postgres-primary,518,0.006,28,514,2,1
2024-05-22T02:20:00Z,postgres-primary,520,0.006,27,517,2,1
2024-05-22T02:25:00Z,postgres-primary,516,0.007,29,513,3,0
2024-05-22T02:30:00Z,postgres-primary,521,0.006,28,518,2,1
2024-05-22T02:35:00Z,postgres-primary,519,0.006,27,516,2,1
2024-05-22T02:40:00Z,postgres-primary,522,0.007,29,519,2,1
2024-05-22T02:45:00Z,postgres-primary,517,0.006,28,514,2,1
2024-05-22T02:50:00Z,postgres-primary,520,0.006,27,517,2,1
2024-05-22T02:55:00Z,postgres-primary,515,0.007,29,512,3,0
2024-05-22T03:00:00Z,postgres-primary,522,0.006,28,519,2,1
2024-05-22T03:05:00Z,postgres-primary,518,0.006,27,515,2,1
2024-05-22T03:10:00Z,postgres-primary,521,0.007,29,517,3,1
2024-05-22T03:15:00Z,postgres-primary,519,0.006,28,516,2,1
2024-05-22T03:20:00Z,postgres-primary,520,0.006,27,517,2,1
2024-05-22T03:25:00Z,postgres-primary,0,1.000,0,0,0,520
2024-05-22T03:30:00Z,postgres-primary,0,1.000,0,0,0,515
2024-05-22T03:35:00Z,postgres-primary,0,1.000,0,0,0,522
2024-05-22T03:40:00Z,postgres-primary,0,1.000,0,0,0,518
2024-05-22T03:45:00Z,postgres-primary,12,0.920,4200,1,11,510
2024-05-22T03:50:00Z,postgres-primary,280,0.180,1400,229,38,13
2024-05-22T03:55:00Z,postgres-primary,510,0.012,31,504,4,2
2024-05-22T04:00:00Z,postgres-primary,519,0.007,28,515,3,1
2024-05-22T02:00:00Z,order-service,1850,0.008,62,1835,11,4
2024-05-22T02:05:00Z,order-service,1840,0.008,61,1825,11,4
2024-05-22T02:10:00Z,order-service,1862,0.009,63,1845,13,4
2024-05-22T02:15:00Z,order-service,1848,0.008,62,1833,11,4
2024-05-22T02:20:00Z,order-service,1855,0.008,61,1840,11,4
2024-05-22T02:25:00Z,order-service,1843,0.009,63,1826,13,4
2024-05-22T02:30:00Z,order-service,1858,0.008,62,1843,11,4
2024-05-22T02:35:00Z,order-service,1847,0.008,61,1832,11,4
2024-05-22T02:40:00Z,order-service,1860,0.009,63,1843,13,4
2024-05-22T02:45:00Z,order-service,1849,0.008,62,1834,11,4
2024-05-22T02:50:00Z,order-service,1855,0.008,61,1840,11,4
2024-05-22T02:55:00Z,order-service,1842,0.009,63,1825,13,4
2024-05-22T03:00:00Z,order-service,1857,0.008,62,1842,11,4
2024-05-22T03:05:00Z,order-service,1846,0.008,61,1831,11,4
2024-05-22T03:10:00Z,order-service,1860,0.009,63,1843,13,4
2024-05-22T03:15:00Z,order-service,1850,0.008,62,1835,11,4
2024-05-22T03:20:00Z,order-service,1855,0.008,61,1840,11,4
2024-05-22T03:25:00Z,order-service,1848,0.009,5800,1809,28,11
2024-05-22T03:30:00Z,order-service,820,0.650,12400,287,533,0
2024-05-22T03:35:00Z,order-service,140,0.910,18200,13,127,0
2024-05-22T03:40:00Z,order-service,60,0.950,21000,3,57,0
2024-05-22T03:45:00Z,order-service,0,1.000,0,0,0,1860
2024-05-22T03:50:00Z,order-service,320,0.550,8900,144,176,0
2024-05-22T03:55:00Z,order-service,1620,0.040,210,1555,48,17
2024-05-22T04:00:00Z,order-service,1840,0.010,68,1821,14,5
2024-05-22T02:00:00Z,user-api,3200,0.005,38,3184,11,5
2024-05-22T02:05:00Z,user-api,3188,0.005,37,3172,11,5
2024-05-22T02:10:00Z,user-api,3210,0.006,39,3191,14,5
2024-05-22T02:15:00Z,user-api,3194,0.005,38,3178,11,5
2024-05-22T02:20:00Z,user-api,3204,0.005,37,3188,11,5
2024-05-22T02:25:00Z,user-api,3190,0.006,39,3171,14,5
2024-05-22T02:30:00Z,user-api,3208,0.005,38,3192,11,5
2024-05-22T02:35:00Z,user-api,3196,0.005,37,3180,11,5
2024-05-22T02:40:00Z,user-api,3205,0.006,39,3186,14,5
2024-05-22T02:45:00Z,user-api,3192,0.005,38,3176,11,5
2024-05-22T02:50:00Z,user-api,3200,0.005,37,3184,11,5
2024-05-22T02:55:00Z,user-api,3188,0.006,39,3170,14,4
2024-05-22T03:00:00Z,user-api,3206,0.005,38,3190,11,5
2024-05-22T03:05:00Z,user-api,3194,0.005,37,3178,11,5
2024-05-22T03:10:00Z,user-api,3208,0.006,39,3189,14,5
2024-05-22T03:15:00Z,user-api,3198,0.005,38,3182,11,5
2024-05-22T03:20:00Z,user-api,3202,0.005,37,3186,11,5
2024-05-22T03:25:00Z,user-api,3195,0.006,3200,2997,114,84
2024-05-22T03:30:00Z,user-api,2100,0.380,9800,1302,630,168
2024-05-22T03:35:00Z,user-api,680,0.820,15600,122,440,118
2024-05-22T03:40:00Z,user-api,90,0.960,18900,4,86,0
2024-05-22T03:45:00Z,user-api,0,1.000,0,0,0,3200
2024-05-22T03:50:00Z,user-api,940,0.480,7200,489,384,67
2024-05-22T03:55:00Z,user-api,2800,0.060,280,2632,126,42
2024-05-22T04:00:00Z,user-api,3190,0.007,42,3167,16,7
