timestamp,service_name,request_count,error_rate,latency_ms,status_200,status_500,status_503
2024-03-10T14:00:00Z,api-gateway,3200,0.008,55,3174,18,8
2024-03-10T14:05:00Z,api-gateway,3185,0.007,54,3162,15,8
2024-03-10T14:10:00Z,api-gateway,3210,0.009,56,3181,20,9
2024-03-10T14:15:00Z,api-gateway,3190,0.008,55,3164,18,8
2024-03-10T14:20:00Z,api-gateway,3205,0.008,57,3179,18,8
2024-03-10T14:25:00Z,api-gateway,3195,0.007,54,3173,14,8
2024-03-10T14:30:00Z,api-gateway,3210,0.009,56,3181,20,9
2024-03-10T14:35:00Z,api-gateway,3188,0.008,55,3163,17,8
2024-03-10T14:40:00Z,api-gateway,3202,0.007,54,3180,14,8
2024-03-10T14:45:00Z,api-gateway,3215,0.009,57,3186,20,9
2024-03-10T14:50:00Z,api-gateway,3192,0.008,55,3167,17,8
2024-03-10T14:55:00Z,api-gateway,3198,0.007,54,3176,14,8
2024-03-10T15:00:00Z,api-gateway,3205,0.008,56,3179,18,8
2024-03-10T15:05:00Z,api-gateway,3190,0.009,55,3162,20,8
2024-03-10T15:10:00Z,api-gateway,3212,0.008,57,3186,18,8
2024-03-10T15:15:00Z,api-gateway,3195,0.007,54,3173,14,8
2024-03-10T15:20:00Z,api-gateway,3200,0.008,55,3174,18,8
2024-03-10T15:25:00Z,api-gateway,3188,0.008,56,3163,17,8
2024-03-10T15:30:00Z,api-gateway,3205,0.009,57,3179,20,6
2024-03-10T15:35:00Z,api-gateway,58400,0.018,62,57350,702,348
2024-03-10T15:40:00Z,api-gateway,74900,0.021,68,73327,1048,525
2024-03-10T15:45:00Z,api-gateway,81200,0.019,65,79632,1118,450
2024-03-10T15:50:00Z,api-gateway,76300,0.022,70,74761,1124,415
2024-03-10T15:55:00Z,api-gateway,69800,0.020,66,68404,980,416
2024-03-10T16:00:00Z,api-gateway,3220,0.009,58,3191,20,9
2024-03-10T16:05:00Z,api-gateway,3198,0.008,55,3172,18,8
2024-03-10T14:00:00Z,auth-service,1800,0.010,72,1782,12,6
2024-03-10T14:05:00Z,auth-service,1790,0.009,71,1774,11,5
2024-03-10T14:10:00Z,auth-service,1810,0.011,73,1790,13,7
2024-03-10T14:15:00Z,auth-service,1795,0.010,72,1777,12,6
2024-03-10T14:20:00Z,auth-service,1805,0.010,74,1787,12,6
2024-03-10T14:25:00Z,auth-service,1788,0.009,71,1772,11,5
2024-03-10T14:30:00Z,auth-service,1812,0.011,73,1792,13,7
2024-03-10T14:35:00Z,auth-service,1798,0.010,72,1780,12,6
2024-03-10T14:40:00Z,auth-service,1802,0.009,71,1786,11,5
2024-03-10T14:45:00Z,auth-service,1815,0.011,74,1795,13,7
2024-03-10T14:50:00Z,auth-service,1792,0.010,72,1774,12,6
2024-03-10T14:55:00Z,auth-service,1800,0.009,71,1784,11,5
2024-03-10T15:00:00Z,auth-service,1808,0.010,73,1790,12,6
2024-03-10T15:05:00Z,auth-service,1795,0.011,72,1775,13,7
2024-03-10T15:10:00Z,auth-service,1810,0.010,74,1792,12,6
2024-03-10T15:15:00Z,auth-service,1800,0.009,71,1784,11,5
2024-03-10T15:20:00Z,auth-service,1805,0.010,72,1787,12,6
2024-03-10T15:25:00Z,auth-service,1792,0.010,73,1774,12,6
2024-03-10T15:30:00Z,auth-service,1808,0.011,74,1788,14,6
2024-03-10T15:35:00Z,auth-service,45200,0.380,340,28024,11552,5624
2024-03-10T15:40:00Z,auth-service,52100,0.420,410,30218,14266,7616
2024-03-10T15:45:00Z,auth-service,48800,0.400,385,29280,12928,6592
2024-03-10T15:50:00Z,auth-service,44600,0.390,360,27206,11856,5538
2024-03-10T15:55:00Z,auth-service,38900,0.360,330,24896,9360,3644
2024-03-10T16:00:00Z,auth-service,1820,0.012,76,1798,14,8
2024-03-10T16:05:00Z,auth-service,1802,0.010,72,1784,12,6
2024-03-10T14:00:00Z,session-store,4500,0.004,18,4482,12,6
2024-03-10T14:05:00Z,session-store,4480,0.004,17,4462,12,6
2024-03-10T14:10:00Z,session-store,4510,0.005,19,4487,14,9
2024-03-10T14:15:00Z,session-store,4490,0.004,18,4472,12,6
2024-03-10T14:20:00Z,session-store,4505,0.004,18,4487,12,6
2024-03-10T14:25:00Z,session-store,4482,0.004,17,4464,12,6
2024-03-10T14:30:00Z,session-store,4512,0.005,19,4488,14,10
2024-03-10T14:35:00Z,session-store,4495,0.004,18,4477,12,6
2024-03-10T14:40:00Z,session-store,4502,0.004,17,4484,12,6
2024-03-10T14:45:00Z,session-store,4518,0.005,19,4493,15,10
2024-03-10T14:50:00Z,session-store,4488,0.004,18,4470,12,6
2024-03-10T14:55:00Z,session-store,4498,0.004,17,4480,12,6
2024-03-10T15:00:00Z,session-store,4505,0.004,18,4487,12,6
2024-03-10T15:05:00Z,session-store,4490,0.005,19,4472,14,4
2024-03-10T15:10:00Z,session-store,4510,0.004,18,4492,12,6
2024-03-10T15:15:00Z,session-store,4496,0.004,17,4478,12,6
2024-03-10T15:20:00Z,session-store,4502,0.004,18,4484,12,6
2024-03-10T15:25:00Z,session-store,4488,0.004,19,4470,12,6
2024-03-10T15:30:00Z,session-store,4508,0.005,18,4488,14,6
2024-03-10T15:35:00Z,session-store,61000,0.012,22,60268,488,244
2024-03-10T15:40:00Z,session-store,78500,0.014,24,77402,687,411
2024-03-10T15:45:00Z,session-store,83200,0.013,23,81914,706,580
2024-03-10T15:50:00Z,session-store,77400,0.014,25,76316,676,408
2024-03-10T15:55:00Z,session-store,70100,0.012,22,69212,505,383
2024-03-10T16:00:00Z,session-store,4520,0.005,19,4497,15,8
2024-03-10T16:05:00Z,session-store,4498,0.004,18,4480,12,6
