timestamp,service_name,request_count,error_rate,latency_ms,status_200,status_500,status_503
2024-07-08T08:00:00Z,recommendation-engine,2400,0.006,110,2385,11,4
2024-07-08T08:05:00Z,recommendation-engine,2388,0.006,112,2373,11,4
2024-07-08T08:10:00Z,recommendation-engine,2405,0.007,115,2388,13,4
2024-07-08T08:15:00Z,recommendation-engine,2392,0.006,113,2377,11,4
2024-07-08T08:20:00Z,recommendation-engine,2401,0.006,116,2386,11,4
2024-07-08T08:25:00Z,recommendation-engine,2389,0.007,118,2373,13,3
2024-07-08T08:30:00Z,recommendation-engine,2406,0.006,122,2390,12,4
2024-07-08T08:35:00Z,recommendation-engine,2394,0.006,128,2378,11,5
2024-07-08T08:40:00Z,recommendation-engine,2402,0.007,135,2385,13,4
2024-07-08T08:45:00Z,recommendation-engine,2391,0.007,145,2374,13,4
2024-07-08T08:50:00Z,recommendation-engine,2404,0.008,158,2385,14,5
2024-07-08T08:55:00Z,recommendation-engine,2393,0.009,174,2371,16,6
2024-07-08T09:00:00Z,recommendation-engine,2400,0.011,195,2374,20,6
2024-07-08T09:05:00Z,recommendation-engine,2389,0.015,228,2353,27,9
2024-07-08T09:10:00Z,recommendation-engine,2404,0.022,280,2351,40,13
2024-07-08T09:15:00Z,recommendation-engine,2391,0.034,365,2310,61,20
2024-07-08T09:20:00Z,recommendation-engine,2398,0.054,492,2268,96,34
2024-07-08T09:25:00Z,recommendation-engine,2386,0.092,720,2166,161,59
2024-07-08T09:30:00Z,recommendation-engine,2402,0.180,1240,1970,320,112
2024-07-08T09:35:00Z,recommendation-engine,2388,0.340,2800,1576,596,216
2024-07-08T09:40:00Z,recommendation-engine,1820,0.610,5200,709,832,279
2024-07-08T09:45:00Z,recommendation-engine,640,0.880,8900,77,448,115
2024-07-08T09:50:00Z,recommendation-engine,80,0.975,12000,2,78,0
2024-07-08T09:55:00Z,recommendation-engine,0,1.000,0,0,0,2400
2024-07-08T10:00:00Z,recommendation-engine,0,1.000,0,0,0,2395
2024-07-08T10:05:00Z,recommendation-engine,420,0.720,6200,118,248,54
2024-07-08T10:10:00Z,recommendation-engine,1850,0.120,840,1628,182,40
2024-07-08T10:15:00Z,recommendation-engine,2360,0.018,148,2317,33,10
2024-07-08T08:00:00Z,search-service,5600,0.004,32,5578,16,6
2024-07-08T08:05:00Z,search-service,5580,0.004,31,5558,16,6
2024-07-08T08:10:00Z,search-service,5610,0.005,33,5582,20,8
2024-07-08T08:15:00Z,search-service,5590,0.004,32,5568,16,6
2024-07-08T08:20:00Z,search-service,5605,0.004,31,5583,16,6
2024-07-08T08:25:00Z,search-service,5588,0.005,33,5560,20,8
2024-07-08T08:30:00Z,search-service,5612,0.004,32,5590,16,6
2024-07-08T08:35:00Z,search-service,5594,0.004,31,5572,16,6
2024-07-08T08:40:00Z,search-service,5608,0.005,33,5580,20,8
2024-07-08T08:45:00Z,search-service,5592,0.004,32,5570,16,6
2024-07-08T08:50:00Z,search-service,5600,0.004,31,5578,16,6
2024-07-08T08:55:00Z,search-service,5586,0.005,33,5558,20,8
2024-07-08T09:00:00Z,search-service,5605,0.004,32,5583,16,6
2024-07-08T09:05:00Z,search-service,5592,0.004,34,5570,16,6
2024-07-08T09:10:00Z,search-service,5610,0.005,38,5582,22,6
2024-07-08T09:15:00Z,search-service,5596,0.005,46,5568,22,6
2024-07-08T09:20:00Z,search-service,5604,0.006,58,5570,26,8
2024-07-08T09:25:00Z,search-service,5588,0.008,82,5543,32,13
2024-07-08T09:30:00Z,search-service,5602,0.014,130,5524,58,20
2024-07-08T09:35:00Z,search-service,5590,0.028,240,5434,116,40
2024-07-08T09:40:00Z,search-service,5606,0.062,480,5259,248,99
2024-07-08T09:45:00Z,search-service,5594,0.148,980,4754,620,220
2024-07-08T09:50:00Z,search-service,5600,0.310,2100,3864,1240,496
2024-07-08T09:55:00Z,search-service,4200,0.520,4200,2016,1596,588
2024-07-08T10:00:00Z,search-service,1800,0.780,7800,396,1188,216
2024-07-08T10:05:00Z,search-service,3400,0.340,1800,2244,952,204
2024-07-08T10:10:00Z,search-service,5200,0.060,280,4888,240,72
2024-07-08T10:15:00Z,search-service,5540,0.012,48,5473,52,15
2024-07-08T08:00:00Z,notification-svc,890,0.007,24,884,5,1
2024-07-08T08:05:00Z,notification-svc,882,0.007,23,876,5,1
2024-07-08T08:10:00Z,notification-svc,894,0.008,25,887,6,1
2024-07-08T08:15:00Z,notification-svc,886,0.007,24,880,5,1
2024-07-08T08:20:00Z,notification-svc,892,0.007,23,886,5,1
2024-07-08T08:25:00Z,notification-svc,884,0.008,25,877,6,1
2024-07-08T08:30:00Z,notification-svc,895,0.007,24,888,5,2
2024-07-08T08:35:00Z,notification-svc,887,0.007,23,881,5,1
2024-07-08T08:40:00Z,notification-svc,893,0.008,25,886,6,1
2024-07-08T08:45:00Z,notification-svc,885,0.007,24,879,5,1
2024-07-08T08:50:00Z,notification-svc,892,0.007,23,886,5,1
2024-07-08T08:55:00Z,notification-svc,884,0.008,25,877,6,1
2024-07-08T09:00:00Z,notification-svc,892,0.007,24,886,5,1
2024-07-08T09:05:00Z,notification-svc,885,0.007,24,879,5,1
2024-07-08T09:10:00Z,notification-svc,893,0.008,26,886,6,1
2024-07-08T09:15:00Z,notification-svc,887,0.007,27,881,5,1
2024-07-08T09:20:00Z,notification-svc,891,0.008,29,882,6,3
2024-07-08T09:25:00Z,notification-svc,884,0.009,34,876,7,1
2024-07-08T09:30:00Z,notification-svc,892,0.012,48,881,9,2
2024-07-08T09:35:00Z,notification-svc,887,0.018,82,871,14,2
2024-07-08T09:40:00Z,notification-svc,893,0.035,160,861,27,5
2024-07-08T09:45:00Z,notification-svc,885,0.088,380,807,63,15
2024-07-08T09:50:00Z,notification-svc,891,0.210,840,704,147,40
2024-07-08T09:55:00Z,notification-svc,882,0.460,1900,476,310,96
2024-07-08T10:00:00Z,notification-svc,886,0.680,3800,283,458,145
2024-07-08T10:05:00Z,notification-svc,640,0.820,5200,115,418,107
2024-07-08T10:10:00Z,notification-svc,890,0.240,620,676,168,46
2024-07-08T10:15:00Z,notification-svc,884,0.028,38,859,20,5
